CCTV,#genre#
河北卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.148:8072
贵州卫视HD,
江苏卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.135:8028
东方卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.136:8032
浙江卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.137:8036
天津卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.141:1234
深圳卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.134:8020
湖北卫视HD,
山东卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.209:8052
黑龙江卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.133:8016
吉林卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.240:8172
重庆卫视HD,
湖南卫视HD,
旅游卫视,
贵州卫视3,http://61.159.134.216:18000/rtp/238.255.2.3:5999
BRTV北京卫视HD,http://drive.mxmy.net:8888/udp/239.3.1.241:8000
上海卫视,
北京卫视4K超,http://106.116.243.102:9999/rtp/239.254.201.68:6000
海南三沙卫视,
新疆卫视5,http://222.82.200.128:8188/udp/238.125.3.178:5140
新疆卫视10,http://222.82.200.128:8188/udp/238.125.3.183:5140
香港卫视,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi#http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi
东森亚洲卫视,https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.flv
